Details for  Addy; April 23, 2015 to December 31, 2015
DATE,MIN_AIR_TEMP,AIR_TEMP,MAX_AIR_TEMP,DEWPOINT,REL_HUMIDITY,LEAF_WETNESS,WIND_DIR,WIND_SPEED,WIND_SPEED_MAX,SOIL_TEMP_2_IN,MIN_SOIL_TEMP_8_IN,AVG_SOIL_TEMP_8_IN,SOIL_MOIS_8_IN,PRECIP,SOLAR_RAD,ET_GRASS,ET_ALFALFA,AIR_PRESSURE,
"2015-04-23",29.5,43.1,52.5,31.0,64.2,0.29,SE,4.1,16.7,47.4,48.4,50.5,20.9,0.00,10.89,0.07,0.10,29.84,
"2015-04-24",38.7,47.7,58.6,32.9,61.3,0.76,S,5.3,21.8,50.8,48.2,50.5,20.7,0.03,20.60,0.13,0.17,29.76,
"2015-04-25",31.9,40.0,47.9,35.5,84.5,0.90,SE,3.7,14.6,46.7,47.5,49.3,20.5,0.03,11.26,0.06,0.07,29.91,
"2015-04-26",29.5,43.7,60.5,34.1,73.4,0.83,SE,3.4,11.7,48.8,45.3,49.0,20.5,0.01,22.62,0.12,0.14,30.17,
"2015-04-27",28.4,49.1,68.5,34.8,64.5,0.72,SE,3.3,15.0,51.2,46.7,50.8,20.3,0.00,24.17,0.14,0.18,30.28,
"2015-04-28",36.2,57.9,79.6,39.6,57.8,0.58,SE,4.6,17.5,54.9,49.2,53.5,20.1,0.00,25.79,0.20,0.27,30.01,
"2015-04-29",39.9,56.5,66.7,33.7,45.7,0.18,SE,5.9,21.8,56.6,53.4,56.3,19.8,0.00,24.37,0.17,0.23,30.03,
"2015-04-30",29.9,49.7,68.0,32.8,57.6,0.43,S,4.5,17.1,53.6,50.5,54.6,19.6,0.00,26.09,0.16,0.21,30.15,
"2015-05-01",46.2,59.6,75.0,37.0,47.0,0.10,S,4.9,22.1,57.2,53.1,56.3,19.3,0.00,22.71,0.19,0.26,29.92,
"2015-05-02",39.0,55.6,66.9,26.8,35.9,0.00,NW,5.7,21.4,57.2,53.9,57.3,19.1,0.00,26.88,0.19,0.26,29.94,
"2015-05-03",33.1,51.5,72.2,28.6,47.4,0.00,NW,5.6,18.9,55.4,52.0,56.1,18.8,0.00,27.06,0.20,0.28,29.99,
"2015-05-04",32.7,54.5,75.7,33.7,52.7,0.41,SE,4.2,19.2,56.1,51.9,56.2,18.5,0.00,25.89,0.19,0.25,29.85,
"2015-05-05",40.3,52.4,64.2,31.1,46.8,0.00,S,6.6,23.2,55.7,53.1,56.3,18.2,0.00,23.56,0.17,0.24,29.91,
"2015-05-06",33.0,49.8,66.0,30.9,53.6,0.30,NW,5.5,17.8,57.2,51.8,55.9,18.0,0.00,27.52,0.17,0.23,29.99,
"2015-05-07",37.3,55.1,70.9,29.0,42.0,0.01,NW,6.3,19.6,58.2,52.7,56.7,17.8,0.00,28.34,0.21,0.29,30.01,
"2015-05-08",36.3,56.0,73.0,30.7,42.8,0.00,NW,6.9,20.7,59.1,53.5,57.6,17.7,0.00,28.04,0.22,0.31,30.02,
"2015-05-09",33.2,54.1,74.7,31.4,50.6,0.36,NW,3.8,15.3,59.6,53.6,58.0,17.5,0.00,27.90,0.19,0.25,30.13,
