Details for  Addy; January 01, 2018 to December 31, 2018
DATE,MIN_AIR_TEMP,AIR_TEMP,MAX_AIR_TEMP,DEWPOINT,REL_HUMIDITY,LEAF_WETNESS,WIND_DIR,WIND_SPEED,WIND_SPEED_MAX,SOIL_TEMP_2_IN,MIN_SOIL_TEMP_8_IN,AVG_SOIL_TEMP_8_IN,SOIL_MOIS_8_IN,PRECIP,SOLAR_RAD,ET_GRASS,ET_ALFALFA,AIR_PRESSURE,
"2018-01-01",3.2,13.4,22.9,7.0,83.0,0.00,NW,3.8,13.9,31.2,33.7,33.7,12.9,0.00,2.57,0.01,0.02,30.53,
"2018-01-02",15.3,18.6,21.6,11.5,79.4,0.00,NW,7.3,13.2,31.1,33.7,33.7,12.8,0.00,5.20,0.01,0.03,30.59,
"2018-01-03",17.1,22.3,27.6,16.5,83.0,0.00,NW,4.9,15.0,31.2,33.7,33.7,12.7,0.00,5.82,0.01,0.02,30.38,
"2018-01-04",22.1,25.0,28.0,20.4,86.3,0.04,NW,5.8,12.1,31.4,33.6,33.7,12.6,0.00,2.61,0.02,0.02,30.26,
"2018-01-05",27.0,30.3,33.5,27.5,90.8,0.51,NW,4.0,9.9,31.7,33.6,33.6,12.6,0.01,1.46,0.01,0.01,30.18,
"2018-01-06",32.5,33.7,36.0,31.6,92.1,0.85,SE,3.4,11.7,31.9,33.6,33.6,12.6,0.32,1.93,0.01,0.02,30.16,
"2018-01-07",31.8,32.8,35.1,31.6,95.2,0.53,SE,1.7,8.9,32.0,33.6,33.6,12.5,0.24,2.86,0.01,0.01,30.13,
"2018-01-08",32.2,33.5,36.1,32.7,96.9,0.91,NW,2.7,11.4,32.1,33.6,33.6,12.6,0.12,3.22,0.01,0.01,29.89,
"2018-01-09",32.5,33.9,35.5,33.2,97.4,0.94,SE,1.7,9.9,32.1,33.6,33.6,13.4,0.16,1.50,0.01,0.01,29.62,
"2018-01-10",25.3,33.2,38.5,30.7,91.2,0.78,SE,3.3,10.3,32.1,33.6,33.6,14.8,0.00,4.45,0.01,0.01,29.88,
"2018-01-11",26.4,29.5,31.7,27.9,95.5,0.57,NW,4.5,13.9,32.2,33.6,33.6,15.4,0.00,0.96,0.00,0.01,29.98,
"2018-01-12",28.0,30.7,33.0,28.5,92.8,0.76,NW,2.9,8.5,32.3,33.6,33.6,15.5,0.00,2.51,0.01,0.01,30.28,
"2018-01-13",30.7,32.8,34.8,31.5,95.3,0.90,NW,4.7,10.7,32.3,33.6,33.7,15.5,0.25,2.36,0.01,0.01,30.47,
"2018-01-14",33.6,35.6,38.2,33.3,91.2,0.71,NW,6.2,15.7,32.4,33.7,33.7,15.6,0.00,3.64,0.01,0.02,30.45,
"2018-01-15",27.8,34.3,39.8,30.9,87.8,0.07,NW,5.8,15.3,32.5,33.7,33.7,16.6,0.00,5.13,0.01,0.02,30.29,
"2018-01-16",27.3,31.7,35.7,30.7,97.0,0.44,NE,3.4,11.7,32.5,33.7,33.8,17.3,0.03,1.70,0.01,0.01,30.26,
"2018-01-17",32.5,34.1,35.9,33.0,95.6,0.54,NW,2.6,12.4,32.6,33.8,33.8,17.4,0.18,2.20,0.01,0.01,30.14,
"2018-01-18",33.4,37.2,42.3,35.4,93.1,0.74,S,3.7,13.9,32.6,33.7,33.8,22.5,0.23,2.76,0.01,0.02,29.82,
"2018-01-19",31.8,34.9,37.5,32.1,89.4,0.31,SE,2.9,10.7,32.7,33.7,33.8,23.1,0.01,3.35,0.01,0.02,29.90,
"2018-01-20",28.6,34.5,37.0,30.9,86.7,0.05,SE,4.4,12.8,32.8,33.8,33.9,22.7,0.00,2.39,0.01,0.02,30.03,
"2018-01-21",30.1,34.7,41.3,31.3,88.3,0.35,SE,4.0,16.4,32.9,33.9,34.0,22.6,0.19,3.95,0.02,0.03,30.05,
"2018-01-22",25.3,32.8,38.8,30.4,91.8,0.52,SE,3.0,10.7,33.0,34.0,34.0,22.9,0.00,2.61,0.01,0.02,30.17,
"2018-01-23",26.7,30.2,32.5,29.2,97.4,0.49,SE,2.7,6.4,32.9,34.0,34.0,22.2,0.01,1.55,0.01,0.01,30.14,
"2018-01-24",32.4,34.3,37.6,33.7,97.6,0.92,S,1.8,9.6,32.9,34.0,34.0,24.0,1.03,1.38,0.01,0.01,29.80,
"2018-01-25",31.8,35.8,40.1,32.3,87.6,0.80,SE,3.6,12.8,33.9,34.0,34.1,24.5,0.03,6.20,0.01,0.02,29.76,
"2018-01-26",30.9,34.4,39.1,30.6,86.7,0.47,SE,2.6,12.1,34.6,34.2,34.4,23.1,0.01,5.43,0.01,0.02,30.06,
"2018-01-27",29.8,34.1,38.3,32.8,95.2,0.74,SE,3.6,15.3,35.0,34.6,35.0,22.6,0.17,2.73,0.01,0.02,30.10,
"2018-01-28",31.1,33.2,35.0,32.8,98.7,0.88,S,1.7,7.4,34.9,34.9,35.2,22.2,0.03,1.86,0.01,0.01,30.40,
"2018-01-29",33.5,37.5,46.6,36.5,96.4,0.94,S,2.9,18.5,36.4,35.6,36.1,21.9,0.12,2.63,0.02,0.03,30.07,
"2018-01-30",28.2,36.5,46.6,29.3,77.8,0.55,S,3.6,18.9,36.8,36.1,36.8,21.8,0.00,7.57,0.03,0.04,29.97,
"2018-01-31",23.4,30.5,39.9,24.9,82.3,0.04,SE,3.4,12.1,34.9,35.2,35.8,21.3,0.00,8.05,0.02,0.03,30.15,
"2018-02-01",28.9,34.2,40.1,30.3,86.1,0.18,SE,3.3,10.7,34.8,34.9,35.1,20.9,0.11,3.69,0.02,0.03,30.19,
"2018-02-02",32.1,35.1,39.4,34.2,96.8,0.90,S,2.2,9.6,35.5,35.2,35.5,21.2,0.12,1.50,0.01,0.01,30.11,
"2018-02-03",33.9,38.2,46.8,36.7,94.7,0.83,SW,3.3,9.6,37.5,36.1,36.9,21.3,0.01,5.70,0.02,0.03,30.06,
"2018-02-04",34.1,37.0,45.3,36.3,97.2,0.85,W,3.7,15.7,38.0,37.5,37.9,21.2,0.09,2.72,0.02,0.03,29.96,
"2018-02-05",32.2,36.8,44.8,35.5,95.4,0.77,W,2.6,8.5,38.6,37.5,38.3,21.1,0.00,4.96,0.02,0.02,30.00,
"2018-02-06",33.3,37.1,44.9,35.1,92.7,0.43,SW,2.7,8.5,39.4,38.4,39.1,20.8,0.00,5.11,0.02,0.03,30.18,
"2018-02-07",33.3,41.0,49.1,37.2,87.0,0.16,S,2.8,14.2,39.8,38.6,39.4,20.6,0.00,4.66,0.02,0.03,30.20,
"2018-02-08",35.0,46.9,59.8,35.4,67.2,0.03,SW,5.8,22.5,41.5,39.2,40.3,20.4,0.00,9.91,0.06,0.10,29.96,
"2018-02-09",30.3,35.6,41.1,20.2,54.1,0.00,NW,6.7,18.5,38.4,38.1,39.2,20.2,0.00,8.32,0.05,0.09,30.16,
"2018-02-10",20.9,27.9,38.2,13.2,57.8,0.00,NW,4.5,16.0,35.7,36.1,36.9,20.0,0.00,10.55,0.04,0.07,30.24,
"2018-02-11",20.5,28.0,37.4,14.6,60.9,0.00,NW,6.8,20.7,34.1,35.1,35.5,19.8,0.00,9.86,0.05,0.08,29.99,
