"Date","Date","Min°F","Avg°F","Max°F","Avg1.5m DP°F","Avg1.5m RH%","2 in.°F","Min°F","Avg°F","Avg 2in.SWPkPa","Avg 8in.SWPkPa","TotPrecin","TotalSolarRadMJ/m²","EToin","ETrin"
"2022/01/01","1","-16.0","-2.6","5.6","-10.9","78.9","32.9","34.8","34.8","NA","NA","0.00","2.15","0.01","0.01"
"2022/01/02","2","2.1","9.8","15.8","2.2","79.1","32.9","34.7","34.7","NA","NA","0.00","2.39","0.01","0.02"
"2022/01/03","3","15.9","24.7","33.7","21.8","92.5","32.9","34.7","34.7","NA","NA","0.01","0.43","0.01","0.01"
"2022/01/04","4","18.0","23.7","26.5","19.8","89.4","33.0","34.7","34.7","NA","NA","0.00","0.82","0.01","0.01"
"2022/01/05","5","18.6","23.1","26.3","19.8","91.8","33.0","34.7","34.7","NA","NA","0.00","1.26","0.01","0.01"
"2022/01/06","6","21.2","22.4","23.4","19.7","94.4","33.1","34.7","34.7","NA","NA","0.00","0.43","0.00","0.01"
"2022/01/07","7","21.0","32.4","39.3","29.3","90.2","33.2","34.7","34.7","NA","NA","0.63","1.49","0.01","0.01"
"2022/01/08","8","6.7","18.3","24.0","13.1","86.1","33.2","34.8","34.8","NA","NA","0.02","5.72","0.00","0.01"
"2022/01/09","9","13.5","22.2","30.0","17.8","88.2","33.3","34.8","34.8","NA","NA","0.00","4.51","0.01","0.02"
"2022/01/10","10","9.3","14.2","20.4","10.0","91.3","33.3","34.8","34.8","NA","NA","0.00","3.10","0.01","0.01"
"2022/01/11","11","19.1","27.0","34.3","24.6","93.7","33.3","34.9","34.9","NA","NA","0.01","1.46","0.01","0.01"
"2022/01/12","12","32.6","33.9","36.6","33.4","98.2","33.4","34.9","34.9","NA","NA","0.07","1.01","0.00","0.01"
"2022/01/13","13","31.7","32.9","36.7","32.7","99.1","33.5","34.9","34.9","NA","NA","0.00","3.54","0.01","0.01"
"2022/01/14","14","31.6","32.8","34.4","32.3","98.2","33.5","35.0","35.0","NA","NA","0.00","2.12","0.01","0.01"
"2022/01/15","15","32.2","33.8","36.7","32.8","96.2","33.5","35.0","35.0","NA","NA","0.00","2.51","0.01","0.01"
"2022/01/16","16","31.2","33.2","36.4","30.9","91.2","33.6","35.0","35.0","NA","NA","0.00","4.73","0.01","0.01"
"2022/01/17","17","28.7","31.8","36.4","29.0","90.1","33.6","35.0","35.0","NA","NA","0.00","3.61","0.01","0.01"
"2022/01/18","18","31.5","33.3","36.3","30.2","88.6","33.7","35.0","35.0","NA","NA","0.00","4.08","0.01","0.02"
"2022/01/19","19","29.9","32.8","36.1","30.4","91.3","33.7","35.0","35.0","NA","NA","0.04","3.20","0.01","0.01"
"2022/01/20","20","32.2","33.6","36.4","33.0","97.8","33.6","35.0","35.0","NA","NA","0.28","1.83","0.01","0.01"
"2022/01/21","21","29.7","31.6","33.2","30.7","97.1","33.6","35.0","35.0","NA","NA","0.00","3.43","0.01","0.01"
"2022/01/22","22","28.2","30.8","32.2","28.4","91.8","33.6","34.9","35.0","NA","NA","0.00","2.89","0.01","0.01"
"2022/01/23","23","29.4","30.8","32.0","28.3","91.6","33.6","34.9","34.9","NA","NA","0.00","2.60","0.01","0.02"
"2022/01/24","24","19.1","27.3","32.6","23.8","89.3","33.6","34.9","34.9","NA","NA","0.00","4.89","0.01","0.01"
"2022/01/25","25","22.1","27.1","30.0","24.2","91.9","33.4","34.9","34.9","NA","NA","0.00","1.83","0.01","0.01"
"2022/01/26","26","27.3","28.3","29.8","23.0","82.6","33.4","34.9","34.9","NA","NA","0.00","2.79","0.02","0.03"
"2022/01/27","27","18.0","25.5","28.5","19.4","80.9","33.3","34.9","35.0","NA","NA","0.00","4.98","0.01","0.02"
"2022/01/28","28","14.5","21.6","28.4","16.7","86.4","33.1","34.9","34.9","NA","NA","0.00","4.86","0.01","0.01"
"2022/01/29","29","10.8","21.1","27.4","16.4","87.2","32.9","34.7","34.8","NA","NA","0.00","3.14","0.01","0.01"
"2022/01/30","30","25.4","28.1","31.8","23.6","85.4","32.9","34.7","34.7","NA","NA","0.00","3.23","0.02","0.02"
"2022/01/31","31","11.9","26.4","33.1","21.2","83.8","32.9","34.7","34.7","NA","NA","0.03","6.03","0.01","0.01"
"2022/02/01","1","7.9","19.8","33.4","9.2","71.7","32.7","34.6","34.7","NA","NA","0.00","6.72","0.02","0.04"
"2022/02/02","2","4.8","16.3","24.2","4.8","66.4","32.5","34.5","34.6","NA","NA","0.00","5.46","0.02","0.02"
"2022/02/03","3","13.2","21.6","26.3","15.5","81.9","32.5","34.4","34.4","NA","NA","0.00","3.46","0.01","0.02"
"2022/02/04","4","25.1","28.5","33.6","25.3","90.1","32.6","34.4","34.4","NA","NA","0.00","2.02","0.02","0.02"
"2022/02/05","5","18.7","29.2","33.7","26.1","90.2","32.6","34.4","34.4","NA","NA","0.02","3.75","0.01","0.01"
"2022/02/06","6","21.4","27.6","34.0","25.1","92.8","32.6","34.4","34.4","NA","NA","0.00","5.45","0.01","0.02"
"2022/02/07","7","21.9","30.9","43.3","27.3","89.4","32.7","34.4","34.4","NA","NA","0.00","8.58","0.02","0.03"
"2022/02/08","8","17.3","27.9","39.2","24.3","89.4","32.7","34.4","34.4","NA","NA","0.00","7.38","0.02","0.02"
"2022/02/09","9","24.2","30.1","42.1","26.5","88.0","32.8","34.4","34.4","NA","NA","0.00","8.34","0.02","0.03"
"2022/02/10","10","22.6","27.9","38.9","26.1","95.7","32.8","34.4","34.4","NA","NA","0.00","5.49","0.02","0.03"
"2022/02/11","11","19.9","29.2","45.4","20.0","75.6","32.9","34.4","34.5","NA","NA","0.00","10.01","0.04","0.07"
"2022/02/12","12","17.0","25.1","40.2","16.0","71.9","32.8","34.4","34.4","NA","NA","0.00","10.87","0.03","0.05"
"2022/02/13","13","10.0","22.9","37.8","15.9","78.2","32.6","34.3","34.3","NA","NA","0.00","9.47","0.02","0.03"
"2022/02/14","14","25.1","29.3","32.0","25.9","89.0","32.6","34.2","34.2","NA","NA","0.00","2.38","0.01","0.02"
"2022/02/15","15","27.9","31.3","33.5","30.4","97.3","32.7","34.2","34.2","NA","NA","0.16","5.75","0.01","0.01"
"2022/02/16","16","21.5","30.2","44.4","23.3","80.1","32.7","34.2","34.3","NA","NA","0.00","10.53","0.04","0.05"
"2022/02/17","17","19.8","29.4","40.8","24.0","82.5","32.7","34.3","34.3","NA","NA","0.00","7.25","0.03","0.04"
"2022/02/18","18","23.0","31.5","40.4","28.0","88.7","32.8","34.3","34.3","NA","NA","0.00","7.73","0.02","0.03"
"2022/02/19","19","24.1","31.7","42.3","27.6","86.7","32.8","34.4","34.4","NA","NA","0.00","3.79","0.03","0.04"
"2022/02/20","20","24.0","31.8","41.1","25.8","80.0","32.8","34.4","34.4","NA","NA","0.00","9.47","0.03","0.04"
"2022/02/21","21","10.6","22.0","30.9","10.6","68.0","32.6","34.4","34.4","NA","NA","0.00","4.88","0.03","0.04"
"2022/02/22","22","2.4","12.3","22.3","-7.6","46.3","32.0","34.2","34.3","NA","NA","0.00","13.02","0.04","0.06"
"2022/02/23","23","-5.0","11.4","22.4","-3.3","59.6","30.8","33.9","34.1","NA","NA","0.00","11.44","0.02","0.03"
"2022/02/24","24","8.9","18.0","29.2","9.4","75.0","30.8","33.8","33.8","NA","NA","0.02","13.25","0.03","0.04"
"2022/02/25","25","3.5","14.6","27.7","6.4","77.3","30.1","33.7","33.7","NA","NA","0.00","10.71","0.03","0.04"
"2022/02/26","26","5.0","19.1","34.4","10.1","73.1","29.6","33.5","33.6","NA","NA","0.01","12.26","0.03","0.05"
"2022/02/27","27","26.0","31.2","35.9","28.8","92.2","31.4","33.5","33.5","NA","NA","0.21","2.04","0.01","0.01"
"2022/02/28","28","33.1","34.8","36.1","34.5","98.8","32.1","33.4","33.5","NA","NA","0.59","2.25","0.01","0.01"
"2022/03/01","1","33.1","39.6","54.4","37.2","92.2","32.1","33.3","33.4","NA","NA","0.03","9.17","0.04","0.06"
"2022/03/02","2","33.4","35.8","39.4","35.6","99.2","32.1","33.3","33.3","NA","NA","0.02","4.09","0.02","0.02"
"2022/03/03","3","31.8","35.9","39.3","35.7","99.5","32.1","33.2","33.2","NA","NA","0.36","4.23","0.02","0.02"
"2022/03/04","4","27.6","33.3","40.3","31.6","94.2","32.1","33.2","33.2","NA","NA","0.01","10.31","0.03","0.03"
"2022/03/05","5","26.4","33.7","47.2","25.9","78.2","32.1","33.2","33.2","NA","NA","0.00","14.28","0.06","0.09"
"2022/03/06","6","24.5","33.7","46.9","20.1","61.8","32.2","33.2","33.3","NA","NA","0.00","15.39","0.07","0.10"
"2022/03/07","7","24.5","35.4","51.7","25.6","69.6","32.8","33.3","33.3","NA","NA","0.00","12.58","0.06","0.08"
"2022/03/08","8","27.7","36.1","43.9","22.6","60.8","34.6","33.3","33.5","NA","NA","0.00","15.15","0.06","0.09"
"2022/03/09","9","15.7","25.5","33.7","12.3","63.5","34.2","33.6","33.9","NA","NA","0.08","11.79","0.04","0.06"
"2022/03/10","10","12.9","26.0","40.9","12.5","62.4","33.3","33.6","33.8","NA","NA","0.00","14.16","0.05","0.07"
"2022/03/11","11","20.3","31.0","41.8","22.0","72.3","33.2","33.6","33.6","NA","NA","0.00","7.47","0.04","0.05"
"2022/03/12","12","30.6","36.0","46.0","29.8","79.3","35.0","33.6","34.0","NA","NA","0.00","8.89","0.05","0.07"
"2022/03/13","13","32.4","36.8","43.1","33.6","88.2","35.6","34.6","35.1","NA","NA","0.00","2.68","0.02","0.03"
"2022/03/14","14","39.4","43.0","48.4","36.8","79.4","39.1","35.9","36.8","NA","NA","0.28","7.26","0.05","0.07"
"2022/03/15","15","31.1","43.5","55.8","36.2","79.0","42.4","38.4","39.4","NA","NA","0.03","11.85","0.07","0.09"
"2022/03/16","16","27.6","38.9","54.4","29.1","71.8","41.8","38.4","39.9","NA","NA","0.00","16.41","0.08","0.10"
"2022/03/17","17","26.2","40.0","53.0","29.5","69.1","40.5","38.3","39.6","NA","NA","0.00","11.51","0.06","0.09"
"2022/03/18","18","33.2","42.0","52.2","33.9","73.8","41.7","39.3","40.3","NA","NA","0.00","8.11","0.06","0.08"
