"Date","Date","Min°F","Avg°F","Max°F","Avg1.5m DP°F","Avg1.5m RH%","2 in.°F","Min°F","Avg°F","Avg 2in.SWPkPa","Avg 8in.SWPkPa","TotPrecin","TotalSolarRadMJ/m²","EToin","ETrin"
"2018/01/01","1","3.2","13.4","22.9","7.0","83.0","31.2","33.7","33.7","NA","NA","0.00","2.57","0.01","0.02"
"2018/01/02","2","15.3","18.6","21.6","11.5","79.4","31.1","33.7","33.7","NA","NA","0.00","5.20","0.01","0.03"
"2018/01/03","3","17.1","22.3","27.6","16.5","83.0","31.2","33.7","33.7","NA","NA","0.00","5.82","0.01","0.02"
"2018/01/04","4","22.1","25.0","28.0","20.4","86.3","31.4","33.6","33.7","NA","NA","0.00","2.61","0.02","0.02"
"2018/01/05","5","27.0","30.3","33.5","27.5","90.8","31.7","33.6","33.6","NA","NA","0.01","1.46","0.01","0.01"
"2018/01/06","6","32.5","33.7","36.0","31.6","92.1","31.9","33.6","33.6","NA","NA","0.32","1.93","0.01","0.02"
"2018/01/07","7","31.8","32.8","35.1","31.6","95.2","32.0","33.6","33.6","NA","NA","0.24","2.86","0.01","0.01"
"2018/01/08","8","32.2","33.5","36.1","32.7","96.9","32.1","33.6","33.6","NA","NA","0.12","3.22","0.01","0.01"
"2018/01/09","9","32.5","33.9","35.5","33.2","97.4","32.1","33.6","33.6","NA","NA","0.16","1.50","0.01","0.01"
"2018/01/10","10","25.3","33.2","38.5","30.7","91.2","32.1","33.6","33.6","NA","NA","0.00","4.45","0.01","0.01"
"2018/01/11","11","26.4","29.5","31.7","27.9","95.5","32.2","33.6","33.6","NA","NA","0.00","0.96","0.00","0.01"
"2018/01/12","12","28.0","30.7","33.0","28.5","92.8","32.3","33.6","33.6","NA","NA","0.00","2.51","0.01","0.01"
"2018/01/13","13","30.7","32.8","34.8","31.5","95.3","32.3","33.6","33.7","NA","NA","0.25","2.36","0.01","0.01"
"2018/01/14","14","33.6","35.6","38.2","33.3","91.2","32.4","33.7","33.7","NA","NA","0.00","3.64","0.01","0.02"
"2018/01/15","15","27.8","34.3","39.8","30.9","87.8","32.5","33.7","33.7","NA","NA","0.00","5.13","0.01","0.02"
"2018/01/16","16","27.3","31.7","35.7","30.7","97.0","32.5","33.7","33.8","NA","NA","0.03","1.70","0.01","0.01"
"2018/01/17","17","32.5","34.1","35.9","33.0","95.6","32.6","33.8","33.8","NA","NA","0.18","2.20","0.01","0.01"
"2018/01/18","18","33.4","37.2","42.3","35.4","93.1","32.6","33.7","33.8","NA","NA","0.23","2.76","0.01","0.02"
"2018/01/19","19","31.8","34.9","37.5","32.1","89.4","32.7","33.7","33.8","NA","NA","0.01","3.35","0.01","0.02"
"2018/01/20","20","28.6","34.5","37.0","30.9","86.7","32.8","33.8","33.9","NA","NA","0.00","2.39","0.01","0.02"
"2018/01/21","21","30.1","34.7","41.3","31.3","88.3","32.9","33.9","34.0","NA","NA","0.19","3.95","0.02","0.03"
"2018/01/22","22","25.3","32.8","38.8","30.4","91.8","33.0","34.0","34.0","NA","NA","0.00","2.61","0.01","0.02"
"2018/01/23","23","26.7","30.2","32.5","29.2","97.4","32.9","34.0","34.0","NA","NA","0.01","1.55","0.01","0.01"
"2018/01/24","24","32.4","34.3","37.6","33.7","97.6","32.9","34.0","34.0","NA","NA","1.03","1.38","0.01","0.01"
"2018/01/25","25","31.8","35.8","40.1","32.3","87.6","33.9","34.0","34.1","NA","NA","0.03","6.20","0.01","0.02"
"2018/01/26","26","30.9","34.4","39.1","30.6","86.7","34.6","34.2","34.4","NA","NA","0.01","5.43","0.01","0.02"
"2018/01/27","27","29.8","34.1","38.3","32.8","95.2","35.0","34.6","35.0","NA","NA","0.17","2.73","0.01","0.02"
"2018/01/28","28","31.1","33.2","35.0","32.8","98.7","34.9","34.9","35.2","NA","NA","0.03","1.86","0.01","0.01"
"2018/01/29","29","33.5","37.5","46.6","36.5","96.4","36.4","35.6","36.1","NA","NA","0.12","2.63","0.02","0.03"
"2018/01/30","30","28.2","36.5","46.6","29.3","77.8","36.8","36.1","36.8","NA","NA","0.00","7.57","0.03","0.04"
"2018/01/31","31","23.4","30.5","39.9","24.9","82.3","34.9","35.2","35.8","NA","NA","0.00","8.05","0.02","0.03"
"2018/02/01","1","28.9","34.2","40.1","30.3","86.1","34.8","34.9","35.1","NA","NA","0.11","3.69","0.02","0.03"
"2018/02/02","2","32.1","35.1","39.4","34.2","96.8","35.5","35.2","35.5","NA","NA","0.12","1.50","0.01","0.01"
"2018/02/03","3","33.9","38.2","46.8","36.7","94.7","37.5","36.1","36.9","NA","NA","0.01","5.70","0.02","0.03"
"2018/02/04","4","34.1","37.0","45.3","36.3","97.2","38.0","37.5","37.9","NA","NA","0.09","2.72","0.02","0.03"
"2018/02/05","5","32.2","36.8","44.8","35.5","95.4","38.6","37.5","38.3","NA","NA","0.00","4.96","0.02","0.02"
"2018/02/06","6","33.3","37.1","44.9","35.1","92.7","39.4","38.4","39.1","NA","NA","0.00","5.11","0.02","0.03"
"2018/02/07","7","33.3","41.0","49.1","37.2","87.0","39.8","38.6","39.4","NA","NA","0.00","4.66","0.02","0.03"
"2018/02/08","8","35.0","46.9","59.8","35.4","67.2","41.5","39.2","40.3","NA","NA","0.00","9.91","0.06","0.10"
"2018/02/09","9","30.3","35.6","41.1","20.2","54.1","38.4","38.1","39.2","NA","NA","0.00","8.32","0.05","0.09"
"2018/02/10","10","20.9","27.9","38.2","13.2","57.8","35.7","36.1","36.9","NA","NA","0.00","10.55","0.04","0.07"
"2018/02/11","11","20.5","28.0","37.4","14.6","60.9","34.1","35.1","35.5","NA","NA","0.00","9.86","0.05","0.08"
"2018/02/12","12","17.3","24.7","36.5","6.6","50.4","33.4","34.5","34.8","NA","NA","0.00","11.22","0.05","0.08"
"2018/02/13","13","16.4","28.4","37.7","16.4","65.1","33.1","34.0","34.2","NA","NA","0.00","8.66","0.03","0.05"
"2018/02/14","14","20.4","29.1","39.2","25.8","90.2","33.0","33.9","34.0","NA","NA","0.47","3.56","0.02","0.02"
"2018/02/15","15","20.5","26.3","33.9","21.8","86.8","33.1","33.8","33.9","NA","NA","0.00","9.93","0.02","0.03"
"2018/02/16","16","22.5","29.2","42.3","25.0","87.2","33.1","33.8","33.8","NA","NA","0.01","6.85","0.03","0.04"
"2018/02/17","17","19.2","26.7","31.8","24.7","95.3","33.2","33.8","33.8","NA","NA","0.00","0.79","0.00","0.01"
"2018/02/18","18","6.9","21.9","28.1","13.2","74.1","33.2","33.8","33.8","NA","NA","0.00","5.01","0.02","0.03"
"2018/02/19","19","-4.7","9.4","22.6","-1.5","70.5","33.2","33.8","33.8","NA","NA","0.00","12.75","0.02","0.03"
