Details for  Addy; January 01, 2022 to July 25, 2022
DATE,MIN_AIR_TEMP,AIR_TEMP,MAX_AIR_TEMP,DEWPOINT,REL_HUMIDITY,LEAF_WETNESS,WIND_DIR,WIND_SPEED,WIND_SPEED_MAX,SOIL_TEMP_2_IN,MIN_SOIL_TEMP_8_IN,AVG_SOIL_TEMP_8_IN,SOIL_MOIS_8_IN,PRECIP,SOLAR_RAD,ET_GRASS,ET_ALFALFA,AIR_PRESSURE,
"2022-01-01",-16.0,-2.6,5.6,-10.9,78.9,0.00,NW,2.8,9.6,32.9,34.8,34.8,15.2,0.00,2.15,0.01,0.01,30.30,
"2022-01-02",2.1,9.8,15.8,2.2,79.1,0.00,N,4.1,11.0,32.9,34.7,34.7,15.2,0.00,2.39,0.01,0.02,30.07,
"2022-01-03",15.9,24.7,33.7,21.8,92.5,0.31,SE,3.6,13.2,32.9,34.7,34.7,15.2,0.01,0.43,0.01,0.01,29.63,
"2022-01-04",18.0,23.7,26.5,19.8,89.4,0.26,S,3.7,11.4,33.0,34.7,34.7,15.2,0.00,0.82,0.01,0.01,29.99,
"2022-01-05",18.6,23.1,26.3,19.8,91.8,0.24,NW,4.2,13.2,33.0,34.7,34.7,15.1,0.00,1.26,0.01,0.01,30.10,
"2022-01-06",21.2,22.4,23.4,19.7,94.4,0.22,N,3.6,11.0,33.1,34.7,34.7,15.1,0.00,0.43,0.00,0.01,29.82,
"2022-01-07",21.0,32.4,39.3,29.3,90.2,0.75,SW,4.2,17.8,33.2,34.7,34.7,15.1,0.63,1.49,0.01,0.01,29.41,
"2022-01-08",6.7,18.3,24.0,13.1,86.1,0.12,SW,2.3,9.2,33.2,34.8,34.8,15.1,0.02,5.72,0.00,0.01,30.15,
"2022-01-09",13.5,22.2,30.0,17.8,88.2,0.17,NW,4.1,12.4,33.3,34.8,34.8,15.2,0.00,4.51,0.01,0.02,30.52,
"2022-01-10",9.3,14.2,20.4,10.0,91.3,0.03,NW,2.0,9.6,33.3,34.8,34.8,15.2,0.00,3.10,0.01,0.01,30.50,
"2022-01-11",19.1,27.0,34.3,24.6,93.7,0.42,SE,2.9,8.9,33.3,34.9,34.9,15.2,0.01,1.46,0.01,0.01,30.32,
"2022-01-12",32.6,33.9,36.6,33.4,98.2,0.94,NW,2.4,9.6,33.4,34.9,34.9,15.2,0.07,1.01,0.00,0.01,30.24,
"2022-01-13",31.7,32.9,36.7,32.7,99.1,0.94,NW,3.8,10.7,33.5,34.9,34.9,15.2,0.00,3.54,0.01,0.01,30.23,
"2022-01-14",31.6,32.8,34.4,32.3,98.2,0.94,NW,2.5,9.9,33.5,35.0,35.0,15.2,0.00,2.12,0.01,0.01,30.53,
"2022-01-15",32.2,33.8,36.7,32.8,96.2,0.90,S,2.6,7.8,33.5,35.0,35.0,15.3,0.00,2.51,0.01,0.01,30.35,
"2022-01-16",31.2,33.2,36.4,30.9,91.2,0.57,SE,3.0,11.0,33.6,35.0,35.0,15.5,0.00,4.73,0.01,0.01,30.26,
"2022-01-17",28.7,31.8,36.4,29.0,90.1,0.14,S,2.0,11.0,33.6,35.0,35.0,15.6,0.00,3.61,0.01,0.01,30.03,
"2022-01-18",31.5,33.3,36.3,30.2,88.6,0.01,S,2.6,9.2,33.7,35.0,35.0,15.8,0.00,4.08,0.01,0.02,30.09,
"2022-01-19",29.9,32.8,36.1,30.4,91.3,0.12,NW,2.1,8.2,33.7,35.0,35.0,16.0,0.04,3.20,0.01,0.01,30.33,
"2022-01-20",32.2,33.6,36.4,33.0,97.8,0.91,SE,2.4,9.9,33.6,35.0,35.0,16.0,0.28,1.83,0.01,0.01,30.17,
"2022-01-21",29.7,31.6,33.2,30.7,97.1,0.87,SE,2.9,9.2,33.6,35.0,35.0,16.4,0.00,3.43,0.01,0.01,30.46,
"2022-01-22",28.2,30.8,32.2,28.4,91.8,0.42,NW,5.0,10.7,33.6,34.9,35.0,16.8,0.00,2.89,0.01,0.01,30.54,
"2022-01-23",29.4,30.8,32.0,28.3,91.6,0.27,NW,6.2,12.1,33.6,34.9,34.9,17.1,0.00,2.60,0.01,0.02,30.39,
"2022-01-24",19.1,27.3,32.6,23.8,89.3,0.00,NW,3.8,10.7,33.6,34.9,34.9,17.4,0.00,4.89,0.01,0.01,30.29,
"2022-01-25",22.1,27.1,30.0,24.2,91.9,0.12,N,2.9,10.7,33.4,34.9,34.9,17.5,0.00,1.83,0.01,0.01,30.40,
