Details for  Ephrata; May 16, 2008 to December 31, 2008
DATE,MIN_AIR_TEMP,AIR_TEMP,MAX_AIR_TEMP,DEWPOINT,REL_HUMIDITY,SOIL_TEMP_2_IN,MIN_SOIL_TEMP_8_IN,AVG_SOIL_TEMP_8_IN,PRECIP,SOLAR_RAD,ET_GRASS,ET_ALFALFA,
"2008-05-16",50.4,69.5,91.9,53.0,61.2,NA,65.9,69.8,0.01,26.35,0.23,0.28,
"2008-05-17",50.6,73.5,92.4,54.4,54.6,NA,68.8,71.1,0.00,27.23,0.24,0.30,
"2008-05-18",62.2,73.2,85.2,48.8,44.2,NA,70.5,72.2,0.00,22.75,0.26,0.36,
"2008-05-19",57.3,71.2,83.3,49.1,48.1,NA,70.8,72.4,0.00,20.35,0.20,0.27,
"2008-05-20",45.2,58.7,65.8,46.1,64.9,NA,69.3,70.9,0.03,14.70,0.12,0.15,
"2008-05-21",46.6,56.0,66.4,35.4,47.2,NA,65.9,67.6,0.00,25.72,0.22,0.31,
"2008-05-22",45.2,58.5,71.5,41.0,55.2,NA,65.7,67.4,0.04,21.20,0.20,0.27,
"2008-05-23",50.5,56.9,65.6,47.8,72.4,NA,64.4,65.9,0.04,8.20,0.11,0.16,
"2008-05-24",47.5,63.0,77.6,47.3,60.2,NA,62.6,64.9,0.01,23.01,0.19,0.24,
"2008-05-25",50.8,64.1,74.5,50.8,64.0,NA,65.8,67.1,0.01,19.27,0.16,0.20,
"2008-05-26",53.5,66.4,76.9,45.9,49.4,NA,66.0,67.9,0.01,25.72,0.22,0.29,
"2008-05-27",58.7,66.8,79.0,42.8,42.4,NA,67.6,69.3,0.00,23.96,0.24,0.33,
"2008-05-28",58.5,67.2,79.8,46.0,47.6,NA,68.8,70.6,0.00,24.64,0.23,0.30,
"2008-05-29",51.1,65.5,78.1,45.5,50.8,NA,70.1,72.1,0.00,29.27,0.24,0.32,
"2008-05-30",43.5,61.2,76.4,39.2,47.2,NA,69.7,72.0,0.00,29.87,0.22,0.27,
"2008-05-31",44.9,64.3,81.3,44.3,52.1,NA,69.9,72.1,0.00,25.48,0.21,0.27,
"2008-06-01",49.9,63.9,74.4,46.8,56.5,NA,71.5,73.2,0.01,29.09,0.22,0.28,
"2008-06-02",42.6,57.0,72.5,41.2,59.1,NA,70.5,72.3,0.00,25.48,0.19,0.25,
"2008-06-03",44.8,52.2,61.5,45.5,78.1,NA,68.8,70.0,0.04,14.23,0.10,0.12,
"2008-06-04",43.0,56.0,69.3,40.8,59.9,NA,65.8,67.5,0.00,23.77,0.18,0.23,
"2008-06-05",41.5,52.2,62.8,43.2,72.8,NA,66.3,67.5,0.01,15.55,0.11,0.14,
