Details for  Ephrata; January 01, 2015 to December 31, 2015
DATE,MIN_AIR_TEMP,AIR_TEMP,MAX_AIR_TEMP,DEWPOINT,REL_HUMIDITY,SOIL_TEMP_2_IN,MIN_SOIL_TEMP_8_IN,AVG_SOIL_TEMP_8_IN,PRECIP,SOLAR_RAD,ET_GRASS,ET_ALFALFA,
"2015-01-01",10.5,17.9,26.6,9.4,75.2,22.7,30.0,30.9,0.00,5.68,0.01,0.02,
"2015-01-02",16.0,20.9,25.9,13.7,78.7,24.4,29.8,30.2,0.00,3.29,0.01,0.02,
"2015-01-03",10.8,22.0,27.9,15.8,81.4,24.0,28.1,29.3,0.00,3.48,0.01,0.01,
"2015-01-04",23.3,27.3,30.0,24.3,91.4,28.2,29.8,30.1,0.00,1.47,0.01,0.01,
"2015-01-05",24.5,30.8,36.8,28.6,92.7,30.2,30.4,30.6,0.02,3.82,0.01,0.01,
"2015-01-06",29.8,33.2,40.4,31.9,95.6,31.6,31.0,31.2,0.00,2.34,0.01,0.02,
"2015-01-07",25.8,32.1,44.7,29.9,93.4,30.8,31.1,31.2,0.00,6.41,0.01,0.02,
"2015-01-08",27.1,31.5,35.5,30.8,98.0,31.4,31.4,31.5,0.00,1.73,0.01,0.01,
"2015-01-09",24.7,30.4,34.4,28.3,93.2,30.3,31.4,31.5,0.00,2.90,0.01,0.01,
"2015-01-10",30.6,32.0,33.9,31.5,98.2,31.7,31.5,31.6,0.00,1.01,0.00,0.00,
"2015-01-11",31.2,33.9,38.0,31.1,89.6,32.0,31.6,31.6,0.00,2.97,0.01,0.02,
"2015-01-12",27.8,33.9,42.3,30.7,89.0,33.1,31.7,31.7,0.00,6.14,0.01,0.01,
"2015-01-13",31.4,32.7,33.9,32.0,97.2,31.8,31.7,31.7,0.00,1.02,0.00,0.00,
"2015-01-14",31.3,33.2,35.5,30.2,88.6,31.9,31.8,31.8,0.01,1.49,0.01,0.02,
"2015-01-15",31.3,32.3,34.3,30.9,94.8,32.0,31.8,31.8,0.00,1.56,0.01,0.01,
"2015-01-16",16.6,27.7,32.3,26.4,97.4,31.9,31.9,31.9,0.00,4.21,0.00,0.00,
"2015-01-17",22.7,29.8,33.3,29.1,98.8,31.8,32.0,32.0,0.44,2.06,0.01,0.00,
"2015-01-18",28.9,38.1,48.8,34.0,86.0,32.9,32.0,32.1,0.28,5.94,0.03,0.05,
"2015-01-19",30.1,38.7,49.6,33.5,82.0,34.7,32.3,33.1,0.00,7.62,0.03,0.05,
"2015-01-20",27.5,32.9,41.2,29.3,88.1,33.5,32.9,33.6,0.00,7.55,0.02,0.03,
"2015-01-21",25.3,28.5,31.5,27.7,99.1,32.0,32.9,33.1,0.00,1.62,0.01,0.01,
"2015-01-22",31.1,32.7,35.0,31.9,97.2,31.9,32.8,32.9,0.00,2.68,0.01,0.01,
"2015-01-23",32.0,33.1,35.4,32.7,98.6,33.3,32.9,33.4,0.00,1.95,0.01,0.01,
"2015-01-24",32.1,35.1,42.0,34.2,96.4,36.5,33.5,34.7,0.01,4.37,0.01,0.02,
"2015-01-25",31.4,35.3,38.9,35.2,99.6,37.2,35.2,36.0,0.00,2.74,0.01,0.01,
"2015-01-26",30.5,37.3,49.4,35.7,94.4,39.0,34.9,37.0,0.00,8.26,0.02,0.03,
"2015-01-27",33.0,35.5,37.8,35.5,100.0,37.7,36.9,37.7,0.00,2.28,0.01,0.01,
"2015-01-28",33.4,35.2,36.8,34.6,97.5,36.7,36.9,37.3,0.01,1.97,0.01,0.01,
"2015-01-29",34.5,36.8,39.5,35.0,93.2,37.4,36.6,37.2,0.00,2.34,0.01,0.01,
"2015-01-30",34.8,36.0,37.8,35.2,97.0,37.0,37.1,37.4,0.00,1.67,0.01,0.01,
"2015-01-31",33.3,35.1,36.7,33.5,93.9,36.2,36.6,37.1,0.00,1.83,0.01,0.01,
"2015-02-01",32.0,34.9,37.6,33.0,92.6,35.6,36.1,36.7,0.00,2.73,0.01,0.02,
"2015-02-02",33.0,35.2,37.9,35.0,99.5,35.9,35.9,36.6,0.03,2.45,0.01,0.01,
"2015-02-03",30.9,35.3,42.6,34.4,96.6,36.4,35.9,36.8,0.01,4.18,0.02,0.02,
"2015-02-04",34.8,37.4,40.7,37.2,99.2,37.7,36.4,37.2,0.07,2.05,0.01,0.01,
"2015-02-05",37.3,40.4,44.2,40.3,99.6,40.4,37.8,38.6,0.09,3.09,0.01,0.02,
"2015-02-06",40.3,47.5,56.0,44.3,89.3,43.0,39.6,40.6,0.11,1.83,0.03,0.04,
"2015-02-07",43.3,48.9,61.1,44.5,85.9,45.6,41.1,42.4,0.20,6.12,0.06,0.09,
"2015-02-08",37.2,45.5,51.6,42.1,88.1,42.5,41.0,42.3,0.02,3.58,0.02,0.03,
"2015-02-09",37.0,44.8,52.9,42.7,92.6,43.7,41.0,42.8,0.00,5.13,0.03,0.03,
"2015-02-10",37.5,44.8,53.7,43.0,93.7,45.7,41.5,43.7,0.01,9.21,0.03,0.04,
"2015-02-11",35.4,43.2,51.1,41.9,95.5,42.8,41.6,43.2,0.00,4.47,0.02,0.02,
"2015-02-12",40.2,47.6,58.5,44.1,89.0,48.5,42.7,45.1,0.00,10.15,0.04,0.05,
"2015-02-13",35.0,44.1,55.9,41.9,92.8,45.1,42.6,45.1,0.00,8.30,0.03,0.04,
"2015-02-14",35.0,45.2,62.1,40.7,86.1,45.9,42.9,45.1,0.00,8.95,0.05,0.08,
"2015-02-15",32.3,44.9,57.8,33.0,65.9,43.3,41.4,44.5,0.00,11.39,0.05,0.08,
"2015-02-16",32.8,43.5,54.3,29.9,59.8,42.0,41.1,43.9,0.00,11.30,0.06,0.10,
"2015-02-17",28.7,40.4,55.0,29.9,69.0,41.8,40.0,43.3,0.00,12.01,0.05,0.07,
"2015-02-18",29.7,38.7,51.8,31.6,77.3,40.3,40.1,42.5,0.00,9.24,0.04,0.06,
"2015-02-19",31.6,40.7,51.5,35.8,83.8,41.1,40.0,42.0,0.00,6.15,0.03,0.04,
"2015-02-20",29.4,43.8,61.1,35.3,74.6,44.0,39.4,43.0,0.00,12.02,0.06,0.09,
"2015-02-21",30.2,43.6,52.9,29.2,57.5,43.2,42.6,44.2,0.00,8.63,0.08,0.12,
"2015-02-22",24.7,34.9,45.5,13.5,45.8,40.3,39.5,42.3,0.00,13.48,0.06,0.09,
"2015-02-23",18.9,34.4,49.4,20.4,60.6,39.3,38.1,41.1,0.00,13.05,0.05,0.08,
