Details for  Ephrata; January 01, 2022 to July 27, 2022
DATE,MIN_AIR_TEMP,AIR_TEMP,MAX_AIR_TEMP,DEWPOINT,REL_HUMIDITY,SOIL_TEMP_2_IN,MIN_SOIL_TEMP_8_IN,AVG_SOIL_TEMP_8_IN,SOIL_WP_2_IN,SOIL_WP_8_IN,PRECIP,SOLAR_RAD,ET_GRASS,ET_ALFALFA,
"2022-01-01",-1.0,7.1,13.2,-1.5,76.2,21.9,24.4,25.0,NA,-1422.7,0.00,3.53,0.01,0.02,
"2022-01-02",4.9,12.8,18.9,5.1,78.7,21.9,23.2,24.0,NA,-1453.8,0.01,3.48,0.01,0.01,
"2022-01-03",5.9,18.6,24.0,14.0,88.4,24.2,24.4,24.9,NA,-1428.5,0.00,2.29,0.01,0.01,
"2022-01-04",8.1,16.0,20.9,12.0,91.4,25.0,25.3,25.5,NA,-1399.6,0.00,3.03,0.01,0.01,
"2022-01-05",16.1,22.4,26.9,19.5,93.6,26.2,26.1,26.4,NA,-1378.1,0.01,3.23,0.01,0.01,
"2022-01-06",20.7,23.6,27.2,20.8,93.5,27.2,27.0,27.2,NA,-1352.8,0.00,1.50,0.01,0.01,
"2022-01-07",12.3,27.7,42.1,21.8,82.4,28.1,27.7,28.0,NA,-1312.0,0.22,5.36,0.02,0.04,
"2022-01-08",10.0,23.7,32.4,16.8,78.7,28.9,28.4,28.7,NA,-1294.2,0.00,5.98,0.02,0.03,
"2022-01-09",8.1,17.9,27.3,13.4,89.3,29.1,28.9,29.0,NA,-1273.9,0.03,7.07,0.01,0.01,
"2022-01-10",6.7,15.2,24.7,10.6,89.8,28.8,28.9,29.0,NA,-1270.7,0.00,4.89,0.01,0.01,
"2022-01-11",14.4,23.4,29.3,19.6,89.6,28.9,28.9,29.0,NA,-1261.6,0.02,4.24,0.01,0.01,
"2022-01-12",23.3,28.4,34.4,25.8,92.3,29.6,29.3,29.5,NA,-1231.2,0.09,3.15,0.01,0.02,
"2022-01-13",19.4,27.5,35.8,25.2,94.0,29.9,29.8,29.9,NA,-1214.6,0.00,4.84,0.01,0.01,
